seqid,uniprot
SeqId_10000_28,P43320
SeqId_10001_7,P04049
SeqId_10003_15,P51814
SeqId_10006_25,P19419
SeqId_10008_43,P43080
SeqId_10011_65,Q01968
SeqId_10012_5,O95238
SeqId_10013_34,Q99LC4
SeqId_10014_31,O43623
SeqId_10015_119,Q13303
SeqId_10021_1,Q99LC4
SeqId_10022_207,Q9Y253
SeqId_10023_32,P11473
SeqId_10024_44,Q86XE5
SeqId_10030_8,Q9UIF7
SeqId_10034_16,Q99LC4
SeqId_10035_6,Q13115
SeqId_10036_201,Q9H4I2
SeqId_10037_98,Q96PQ1
SeqId_10040_63,Q9H3D4
SeqId_10041_3,P41235
SeqId_10042_8,Q96BR1
SeqId_10043_31,O60885
SeqId_10044_12,Q9GZT5
SeqId_10045_47,Q13618
SeqId_10046_55,Q13490
SeqId_10047_12,P19878
SeqId_10048_7,Q13951
SeqId_10049_112,P54274
SeqId_10053_5,Q13418
SeqId_10054_3,Q9H2C0
SeqId_10056_5,Q08050
SeqId_10058_1,P54725
SeqId_10063_10,Q9NW38
SeqId_10064_12,O75884
SeqId_10070_22,P16885
SeqId_10073_22,Q9NUW8
SeqId_10074_128,P25440
SeqId_10075_75,Q9BR61
SeqId_10076_1,O00189
SeqId_10078_5,O95817
SeqId_10080_9,Q14232
SeqId_10081_17,Q9UPW6
SeqId_10082_251,P07196
SeqId_10085_25,P49675
SeqId_10086_39,P35520
SeqId_10087_10,P02489
SeqId_10088_37,P07741
SeqId_10089_7,O95671
SeqId_10336_3,Q9UNE7
SeqId_10339_48,P09104
SeqId_10342_55,Q8N2W9
SeqId_10344_334,Q13651
SeqId_10346_5,P40763
SeqId_10356_21,P05412
SeqId_10361_25,P00973
SeqId_10362_35,P01106
SeqId_10363_13,P84022
SeqId_10364_6,Q15796
SeqId_10365_132,Q9NPF7
SeqId_10366_11,P16234
SeqId_10367_62,P29460
SeqId_10370_21,P42224
SeqId_10372_18,P42226
SeqId_10390_21,Q9ULT6
SeqId_10391_1,Q9Y5C1
SeqId_10396_6,Q07820
SeqId_10416_79,Q99LC4
SeqId_10418_36,Q86Y82
SeqId_10419_1,Q6ZMJ2
SeqId_10424_31,Q9NQX5
SeqId_10425_3,O43286
SeqId_10426_21,O14653
SeqId_10427_2,Q99LC4
SeqId_10428_1,P43631
SeqId_10430_31,P08195
SeqId_10432_3,Q3SXP7
SeqId_10435_2,P20933
SeqId_10438_19,P15509
SeqId_10440_26,Q9H6B4
SeqId_10442_1,Q8WZ59
SeqId_10445_20,O95445
SeqId_10447_18,Q9H361
SeqId_10449_31,Q6UWI4
SeqId_10451_11,Q02818
SeqId_10452_24,Q99LC4
SeqId_10453_7,Q6UY09
SeqId_10454_99,Q9Y2G8
SeqId_10455_196,Q6EBC2
SeqId_10461_57,Q99LC4
SeqId_10462_14,Q9Y5Q6
SeqId_10464_6,Q9H6X2
SeqId_10467_58,Q99LC4
SeqId_10471_25,Q99LC4
SeqId_10476_23,Q99LC4
SeqId_10477_162,Q99LC4
SeqId_10485_56,P43358
SeqId_10489_19,Q99LC4
SeqId_10490_3,P04843
SeqId_10491_21,Q99LC4
SeqId_10494_48,Q99LC4
SeqId_10495_10,Q99LC4
SeqId_10496_11,A8K7I4
SeqId_10497_242,Q99LC4
SeqId_10499_1,Q96A25
SeqId_10501_3,Q99LC4
SeqId_10502_15,Q99LC4
SeqId_10503_55,Q99LC4
SeqId_10504_6,Q99LC4
SeqId_10506_53,O15173
SeqId_10507_166,P26436
SeqId_10510_62,Q6UWF3
SeqId_10511_10,P12111
SeqId_10512_13,P32927
SeqId_10513_13,Q9Y2W7
SeqId_10514_5,P41222
SeqId_10516_53,Q99LC4
SeqId_10518_14,Q99LC4
SeqId_10521_10,Q9BRK3
SeqId_10522_167,Q99LC4
SeqId_10527_22,Q08211
SeqId_10529_19,Q99LC4
SeqId_10530_8,P28072
SeqId_10531_18,P01111
SeqId_10533_1,Q99LC4
SeqId_10534_40,P09874
SeqId_10535_25,Q02221
SeqId_10539_30,Q8TCZ2
SeqId_10546_2,Q8WU66
SeqId_10547_42,Q99LC4
SeqId_10548_35,Q99LC4
SeqId_10550_37,O00238
SeqId_10551_7,O43561
SeqId_10552_88,O43908
SeqId_10553_8,Q8NFQ8
SeqId_10554_23,P16278
SeqId_10557_6,Q8N6K0
SeqId_10558_26,Q9HC56
SeqId_10560_1,Q9NQX7
SeqId_10561_5,Q96LB9
SeqId_10562_42,Q8NC67
SeqId_10563_13,Q7Z3D4
SeqId_10565_19,O94933
SeqId_10569_28,P55001
SeqId_10571_14,P26572
SeqId_10572_65,O60676
SeqId_10574_10,P61769
SeqId_10575_31,Q9UHX1
SeqId_10580_14,Q6UW10
SeqId_10582_36,Q9H5K3
SeqId_10583_1,Q6UXF1
SeqId_10584_7,O43181
SeqId_10588_39,Q9UNP4
SeqId_10589_7,Q5VY80
SeqId_10593_14,Q99LC4
SeqId_10600_24,O14967
SeqId_10603_1,P15516
SeqId_10605_22,Q9HDC9
SeqId_10606_34,Q5JTV8
SeqId_10607_4,Q99LC4
SeqId_10608_9,P15515
SeqId_10610_8,Q99LC4
SeqId_10612_18,O60568
SeqId_10613_33,Q6P4E1
SeqId_10615_18,P25189
SeqId_10616_67,Q9NZ53
SeqId_10618_190,P98164
SeqId_10620_21,P08118
SeqId_10621_26,Q569H4
SeqId_10622_9,Q99LC4
SeqId_10623_19,P15941
SeqId_10624_45,Q1W4C9
SeqId_10627_87,Q06481
SeqId_10630_5,Q9BUP3
SeqId_10637_50,Q6UXG2
SeqId_10638_1,Q9BSI4
SeqId_10639_1,Q99LC4
